"SKU","SKU"
"New","New"
"Sale","Sale"
"Quantity", "Quantity"
"Quantity:", "Quantity:"
"Add to Cart","Add to Cart"
"More","More"
"Less","Less"
"SHOP BY", "SHOP BY"
"Search result(s)", "Search result(s)"
"item(s)", "item(s)"
"Refine your search:", "Refine your search:"
"back", "back"
"close", "close"
"reset", "reset"
"Max", "Max"
"Min", "Min"
"apply", "apply"
"Apply", "Apply"
"Cancel", "Cancel"
"From", "From"
"To", "To"
"Clear All", "Clear All"
"Your search returns no results.", "Your search returns no results."
"Sign up for our newsletter", "Sign up for our newsletter"
"Subscribe", "Subscribe"
"Other people marked this product with these tags:", "Other people marked this product with these tags:"
"Add Your Tags:", "Add Your Tags:"
"Add Tags", "Add Tags"
"Use spaces to separate tags. Use single quotes (') for phrases.", "Use spaces to separate tags. Use single quotes (') for phrases."
"Orders and Returns", "Orders and Returns"
"Find Order By:", "Find Order By:"
"Order ID", "Order ID"
"Billing Last Name", "Billing Last Name"
"Email Address", "Email Address"
"Billing ZIP Code", "Billing ZIP Code"
"Continue", "Continue"
"My Orders", "My Orders"
"Order #", "Order #"
"Date", "Date"
"Ship to", "Ship to"
"Order Total", "Order Total"
"Order Status", "Order Status"
"View Order", "View Order"
"Reorder", "Reorder"
"You have placed no orders.", "You have placed no orders."
"Recent Orders", "Recent Orders"
"Status", "Status"
"Write Your Own Review", "Write Your Own Review"
"You\'re reviewing:", "You\'re reviewing:"
"How do you rate this product?", "How do you rate this product?"
"Nickname", "Nickname"
"Summary of Your Review", "Summary of Your Review"
"Review", "Review"
"Submit Review", "Submit Review"
"Please select one of each of the ratings above", "Please select one of each of the ratings above"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>", "Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Customer Reviews", "Customer Reviews"
"Reviews", "Reviews"
"Review by <strong>%s</strong>", "Review by <strong>%s</strong>"
"No reviews have been submitted for this product yet.", "No reviews have been submitted for this product yet."
"%d Review(s)", "%d Review(s)"
"Add Your Review", "Add Your Review"
"Be the first to review this product", "Be the first to review this product"
"Recently Viewed Products", "Recently Viewed Products"
"Recently Viewed", "Recently Viewed"
"Out of stock", "Out of stock"
"Add to Wishlist", "Add to Wishlist"
"Wishlist", "Wishlist"
"Compare", "Compare"
"Add to Compare", "Add to Compare"
"Recently Compared", "Recently Compared"
"I Have An Account", "I Have An Account"
"Log Into Your Account", "Log Into Your Account"
"Password", "Password"
"Forgot Password", "Forgot Password"
"Create An Account", "Create An Account"
"Create New Account", "Create New Account"
"First Name", "First Name"
"Last Name", "Last Name"
"Confirm Password", "Confirm Password"
"Sign Up for Newsletter", "Sign Up for Newsletter"
"Receive Emails", "Receive Emails"
"Select a billing address from your address book or enter a new address.", "Select a billing address from your address book or enter a new address."
"Company", "Company"
"Address", "Address"
"Street Address", "Street Address"
"Street Address %s", "Street Address %s"
"VAT Number", "VAT Number"
"City", "City"
"State/Province", "State/Province"
"Zip/Postal Code", "Zip/Postal Code"
"Country", "Country"
"Telephone", "Telephone"
